Startup,URL,Super Cluster Number,Super Clusters,Absolute FINAL sub-cluster,Clusters,Service/Product Description,Country,Founded,Funding Stage,Latest Funding Date,Total Funding (USD),Latest Funding (USD),Year Score,Funding Score,Maturity Score,Maturity,Value Chain Grouping,EU,Focus Area,Opportunity Space
10x,https://www.10xbanking.com/,4,Automate workflows,14,"Cash, Payments & Banking As a Service","10x Future Technologies is a financial business that seeks to empower banks and non-banks to optimize their customer data and interactions. The company's platform is based on a full suite of capabilities covering banking process automation, compliance reporting, security, and analytics.10x offers its partners digital and data modeling services with a modular construction and open APIs.",England,2016,Series B,2019,98800000,52800000,0.33,0.33,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,Meet Regulatory Requirements,Regulatory Compliance
86 400,https://www.86400.com.au/,5,Engage Consumers,15,Banking & Personal Finance,"86 400 is a Australian first smartbank. One that steps up, does the right thing by its customers and puts them first.",England,2017,Series A,2020,21193400,21193400,0.33,0.33,0.33,Nascent,6. OTHER,N,Meet Regulatory Requirements,Identify the Client (AML/KYC)
InstaVal,https://www.instaval.co,2,Access Liquidity,4,"Unlisted equities, PE & VC",Data-driven investment dealflow platform made to promote equity investments in startups and scaleups.,Germany,2018,Seed,2019,17103,17103,0.33,0,0.165,Nascent,2. SECONDARY,N,Access Liquidity,"Alt debt, loans & SME financing"
AcadiaSoft,https://acadiasoft.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"AcadiaSoft Inc. develops and markets derivatives and collateral management solutions for institutional investors. AcadiaSoft’s MarginSphere service is a margin confirmation community that streamlines communications between counterparties engaged in collateral management. It meets the financial scrutiny that comes from shareholders, bondholders, and regulators. Designed for both sell-side and buy-side, the platform provides a solution to the complex issues associated with collateral management workflow thereby reducing operational risk. It was founded through collaboration between major financial institutions, including eight Fed 14 banks, to create solutions that support full implementation of documented ISDA Collateral Requirements.",USA,2005,Series C,2018,58300000,23700000,1,0.66,0.83,Mature,3. POST TRADE,Y,Access Liquidity,"Unlisted equities, PE & VC"
Acatus,https://www.acatus.com/,2,Access Liquidity,3,"Alt debt, loans & SME financing","Acatus is a debt capital markets platform. The platform connects loan originators, banks, lending fintech companies or credit funds & investors. It provides real-time capital markets and digital investment opportunities for fixed income investors.","Foster City, California, United States",2016,Series A,2019,6070000,6070000,0.33,0.33,0.33,Nascent,1. PRIMARY,Y,Access Liquidity,Tokenization and Digital Assets
Access FinTech,https://www.accessfintech.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Access Fintech operates the Global Exceptions Network for exception resolution and risk management. It aggregates data from bespoke internal systems, vendors, outsourcers & organization reports. Allows end users to determine priority & understand associated risk. Provides control functions to adjust prioritization based on market condition changes that enable managers to oversee & determine bottlenecks and intervention points.","New York, New York, United States",2016,Series A,2018,17500000,17500000,0.33,0.33,0.33,Nascent,3. POST TRADE,N,Access Liquidity,"FI, FX & Listed Equities"
Acuminor,https://www.acuminor.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Acuminor is a provider of risk assessment solutions to prevent money laundering and terrorist financing. The product offered by the company are Essentials, ThreatView, and Risk Assessment. Essentials provide a cloud-based solution for AML. ThreatView provides risk assessment and management solution.",England,2018,Seed,2019,1692134,1692134,0.33,0,0.165,Nascent,4. CLIENT SERVICING & SUPPORT,Y,Manage Risk,Fraud & Cybersecurity
Addepar,addepar.com,3,Manage Risk,9,Data & Risk Analytics,"Addepar is a financial operating system that aims to bring common sense and ethical, data-driven investing to the financial world. Addepar gives advisors and their clients a clearer financial picture at every level, all in one place and handles all types of assets denominated in any currency. With customizable reporting, financial advisors can visualize and communicate relevant information to anyone who needs it.",United States,2009,Series D,2020,246930000,40000000,0.99,0.66,0.825,Mature,2. SECONDARY,N,Manage Risk,Optimization & Collateral Mgmt
DealMatrix,https://dealmatrix.com/,3,Manage Risk,9,Data & Risk Analytics,"DealMatrix is a flexiable software solution for innovation scouting professionals & deal flow management solutions. DealMatrix provides end to end platform services for dealflow management. With thei independent SaaS platform they help you to increase your efficiency, accuracy, comparability and transparency. They eliminated the hassle of different not connected systems and include the application form, screening, scoring, reporting, data analytics, online collaboration and benchmarking. Their clients such as investors, corporates and startup event organizers recieve relevant comparable data for faster and better decisions! Among their happy customers are: Microsoft, Accor Hotels, Mobile World Congress / 4YFN, Bits&Pretzels, The Next Web, KPMG, European Super Angel Club, cleverclover, Austrian Angel Investor Association, Global Incubator Network, Venionaire Capital and many more. When they talk about early stage investment, they essentially talk about opportunities. But these opportunities are tied to taking enormous risk in order to find those startups that will change technical and societal landscapes. Reducing risk is the core task of the venture investor. With their users spanning from multinational corporates, venture capitalists, CVCs, consultants and advisors, business angel networks to accelerators, incubators and startup conferences, they cover the venture ecosystem in an unprecedented way. The structured process helps their clients to streamline, pitching- and business data, analyst and external advisor opinions, applicants' ratings and automatically send notifications - all into one place! DealMatrix increases already today with higher accuracy, comparability and transparency the efficiency of its clients in average by 30%. Intelligent algorithms and AI will increase this figure in the future to approx. 75%.","New York, New York, United States",2015,Seed,2016,332981,332981,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,Manage Risk,Data & Risk Analytics
Risksave Technologies,https://www.risksave.com/,1,Meet Regulatory Requirements,1,Regulatory Compliance,"Building on decades of experience in banking, investment management, compliance and technology, the founders of RiskSave are able to offer businesses new and mature a plug-and-play regulatory solution. From advisory firms to wealth managers, crowd-funding platforms to robo-advisers, RiskSave Compliance can offer a tailored solution that will allow you the fastest route to market in the regulated industries. With their streamlined process you can focus on your core competencies - gaining customers, building AUM, producing a track record - assured that you have behind you a team of compliance and risk management professionals that are taking care of the rest. The founding team are thought leaders across FinTech and RegTech and are here to support you in the regulatory landscape, allowing you to focus on your business needs.","San Francisco, California, United States",2015,Seed,2016,339333,,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,Manage Risk,Crypto-Custody & Encryption
ADVANCE.AI,advance.ai,1,Meet Regulatory Requirements,2,Identify the Client (AML/KYC),"ADVANCE.AI is a financial technology that helps users with problems such as credit evaluation, anti-fraud, and risk control based on big data and AI technology.","Bellevue, Washington, United States",2016,Series C,2019,130000000,80000000,0.33,0.66,0.495,Nascent,4. CLIENT SERVICING & SUPPORT,Y,Automate workflows,Trade Straight Through Processing
Stampery,http://stampery.com,4,Automate workflows,12,IT & Data Cost Managament,"Stampery is a verification and certification platform that generates legal proofs for all its customers sensitive documents using bitcoinâ€™s blockchain. Its service can be used to attest the integrity, existence, ownership, and receipt of any file or communication as well as to certify digital transactions to generate audit trails, protect its customerâ€™s intellectual properties, and to prove proprietorship of digital assets. Stampery charges a service fee from its clients depending on the number of file transactions and utilization of storage space on a monthly basis.","Maynooth, Kildare, Ireland",2015,Seed,2015,600000,600000,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,N,Automate workflows,IT & Data Cost Managament
Celerix Tech,https://celerixtech.com/,3,Manage Risk,9,Data & Risk Analytics,"Celerix Technologies offers FPGA-based hardware-accelerated technologies high-performance trading and portfolio management systems to buy/sell-side firms, investment banks, brokerages, hedge funds, etc. Products offered include Impetus - ultra-low latency trading and market data solution, PMP - a latency proprietary messaging platform and Prospero - a low latency, asset class neutral and market neutral trading platform.",England,2013,Seed,2020,710000,14000,0.66,0,0.33,Nascent,2. SECONDARY,N,Automate workflows,Document Streamlining
AdvisorEngine,advisorengine.com,3,Manage Risk,10,Crypto-Custody & Encryption,"AdvisorEngine offers one integrated platform built on Robo Advisor technology to helps manage customers' firms. On May 6th, 2020, AdvisorEngine was acquired by Franklin Resources. The terms of the transaction were not disclosed.",USA,2014,Corporate Round,2018,52100000,22000000,0.66,0.66,0.66,Emerging,2. SECONDARY,N,Automate workflows,"Cash, Payments & Banking As a Service"
Agari,https://www.agari.com/,3,Manage Risk,7,Fraud & Cybersecurity,"Agari is transforming the legacy Secure Email Gateway with its next-generation Secure Email Cloud. Agari Identity detects, defends, and deters costly advanced email attacks including business email compromise, spear phishing, and account takeover. It was founded in 2009 and headquartered in Foster City, California.","Chicago, Illinois, United States",2009,Series E,2018,84700000,40000000,0.99,0.66,0.825,Mature,4. CLIENT SERVICING & SUPPORT,N,Engage Consumers,Banking & Personal Finance
MindLink Software,http://www.mindlinksoft.com,4,Automate workflows,13,Document Streamlining,"MindLink provides business critical collaboration enabled through Enterprise Chat. Designed for business use, MindLink focuses on mobility, security, compliance and advanced integration whilst connecting to UC platforms such as Microsoft Lync. (SfB) Available in the Cloud and on Premise, it allows teams to exchange vital information real-time across the enterprise communicating more effectively. www.mindlinksoft.com",USA,2011,Seed,2016,1000000,1000000,0.66,0,0.33,Nascent,4. CLIENT SERVICING & SUPPORT,Y,Engage Consumers,P2P Platforms
Agora Services,https://agoraservices.us/,4,Automate workflows,12,IT & Data Cost Managament,"Agora provides API-powered, white-label digital banking solutions that can be integrated into the core banking system of the banks. Features include real-time transactions; multiple cards on a shared account; money pooling; parental control over children accounts; PFM and card controls.",USA,2018,Seed,2018,2000000,2000000,0.33,0,0.165,Nascent,5. E-2-E INTEGRATION,N,,
AgoraDCM,https://agoradcm.com,3,Manage Risk,10,Crypto-Custody & Encryption,"Agora Capital Markets creates end-to-end digital platform for the full life-cycle of bonds, from inception to redemption.",USA,2018,Seed,2018,5580000,5580000,0.33,0,0.165,Nascent,5. E-2-E INTEGRATION,Y,,
