Startup,URL,Description,Country,Focus Area,Innovation Area,Founded,Maturity,Total Funding,Funding Stage,Theme
75f,https://www.75f.io/,"75f is a provider of cloud platform along with wireless zone controllers to monitor temperature, tracking the energy requirements among others. It fixes wide temperature imbalances in a typical commercial building. Its module senses the temperature in each room and sends it wirelessly to a Central Control Unit that replaces a standard thermostat. The CCU aggregates the data and sends it to servers in the cloud to predict thermal loads across the building based on historical data and forecast weather. The optimum control strategy is then sent back to the CCU which turns on or off the HVAC equipment and instructs the room modules to modulate the dampers. Won $105,000 at 2014 Minnesota Cup Grand Prize and $100K investment from AOL co-founder Steve Case. Based in Mankato, CTO works out of Bangalore. Added smart lighting control software to enable energy savings.",USA,Green Building,Buildings & Heat,2012,Nascent,"26,073,608",Series A,Accessibility
7ACTech,https://7actech.com/,7AC has developed a disruptive membrane-isolated plastic plate technology that enables the design of highly efficient liquid desiccant based HVAC solutions. Systems using this technology can drastically cut heating and cooling energy costs and radically improve de-humidification performance. 7AC Wins Outstanding Venture Award at 2012 NREL Industry Growth Forum,USA,Green Building,Buildings & Heat,2009,Mature,"26,800,000",Series C,Accessibility
8Power,https://www.8power.com/,"8power’s vibration energy harvesting technology produces electrical power for sensors, local processing and wireless communication. Their patented technology was developed at the University of Cambridge and allows sensors to operate without battery power, at extremes of temperature using the vibration power in the environment. It works with customers to monitor the condition of assets including machinery, utility networks, infrastructure, transportation and buildings.",England,Predictive Maintainance,Smart Assets,2015,Nascent,"1,100,000",Seed,Stability
Aceleron,https://www.aceleronenergy.com/,"Aceleron manufactures lithium batteries and storage systems for residential, commercial, caravans, canal boats, and other applications. Products include Essential 12V LiFePO4 batteries of capacity 100Ah; and Li-ion storage unit which has integrated solar, inverter & battery systems.",England,Circular Cities,Whole System Resources,2018,Nascent,"2,765,836",Series A,Accessibility
Actility,https://www.actility.com/,"Actility is an industry leader in Low Power Wide Area Networks (LPWAN). ThingPark by Actility offers a carrier-grade IoT platform, with a growing ecosystem of partners; low-power, long-range wireless networks for sensors and devices; an operating system and middleware that enables web applications to connect seamlessly with data from different sensors; and a B2B e-commerce market featuring tested and approved IoT device, connectivity, and application partners.",France,Smarter Grid,Smart Operations,2010,Mature,"100,000,000",Series D,Accessibility
Adaptive Balancing,https://www.adaptive-balancing.com/,"Adaptive Balancing Power develops, manufactures, and sells an innovative energy storage device for dynamic network stabilization. The company's adaptive flywheel energy storage system is one of the enablers of a cost-effective energy turnaround. The system adopts the CO2-neutral stabilization of the power grid, conventional power plants can be switched off, the supply security is guaranteed.",Germany,Grid-scale Storage,Whole System Resources,2016,Nascent,,Seed,Stability
Adaptricity,https://www.adaptricity.com/en/,"Adaptricity develops intelligent software systems with the aim of facilitating the generation and distribution of electricity for network operators through planning and optimization software. Their DPG.sim (Distributed Prosumer and Grid Simulation) is a cloud-based platform for time-based simulation and analysis of intelligent power networks with distributed power generators, storage, smart meters and other SmartGrid technologies.",Switzerland,Smarter Grid,Optimising Network Resources,2014,Nascent,"140,518",Seed,Accessibility
Addionics,https://www.addionics.com/,Addionics is a provider of 3D architecture rechargeable batteries. Has developed a 3D architecture for batteries for reducing the internal resistance of the batteries. Claims to reduce the charging time by half and increase in the range at high speeds. Develops this technology for electric vehicle batteries.,Israel,Battery technology,Transport,2017,Nascent,"3,500,000",Series A,Mobility
Adnoviv,https://adnoviv.com/,"Adnoviv develops sensors and systems for industrial, medial and security applications. The company specializes in smart occupancy sensor that detects true human presence by heartbeat and respiration. Its team also has expertise in non-invasive physiological sensors.",USA,Green Building,Buildings & Heat,2015,Nascent,"25,000",Seed,Accessibility
Advanced Microgrid Solutions,https://www.advancedmicrogridsolutions.com/,"Advanced Microgrid Solutions provides a solution for battery management. AMS’ technology uses artificial intelligence, advanced price forecasting, portfolio optimization and market bidding to ensure batteries, storage and flexible generation assets are responding optimally to price signals sent by the market.",USA,Asset & data management,Circular Economy,2012,Mature,"34,000,000",Acquired,Accessibility
Aerialtronics,https://www.aerialtronics.com/en/applications/drones-for-powerline-inspection,"Aerialtronics develops unmanned aerial systems for a large variety of applications, such as securing national interests, performing safety inspections, crisis management, movie takes, film productions, commercials, television programs or news reporting. Their UAV Altura Zenith has a payload capacity of 3kg and can fly for 50 min continuous. It also has an integrated fail safe system.",Netherlands,Predictive Maintainance,Smart Operations,2011,Mature,,Acquired,Stability
Aerodyne,https://aerodyne.group/en/,"Aerodyne is a drone-based managed solutions provider for enterprises. The data collected by drones are processed in AI-based proprietary software, also known as myPRISM and Vertikaliti, for providing users with actionable insights. The target market includes oil and gas, power, telecom, renewables, construction, agriculture, infrastructure, among others. The company is developing autonomous unmanned aerial systems, including automated surveillance applications and nested drones which essentially return to automated stations for downloading data and recharging for the next mission autonomously.",Malaysia,Predictive Maintainance,Smart Operations,2014,Nascent,"30,000,000",Series B,Stability
AI Dash,https://www.aidash.com/,"AiDash is an AI and cloud-based fleet management and satellite-powered maintenance solutions for core industries with distributed assets. The platform leverages high-resolution, multispectral imagery and SAR data to make timely predictions for operations and maintenance (O&M) activities. It also provides remote monitoring and inspection solutions to manage heavy equipment and fleets of construction projects. Additionally, it also offers solutions for telecom, water, mining, energy management industries. The company has partnered with BCG, Esri, and NRECA among others.",USA,Predictive Maintainance,Smart Operations,2019,Nascent,"6,000,000",Series A,Stability
Airobotics Drones,https://www.airoboticsdrones.com/oil-and-gas/,"Airobotics designs and develops autonomous industrial drones. Its offering comprises of three components namely Optimus, Airbase, and Airobotics software. Optimus is a quadcopter drone with an endurance of up to 30 minutes and a payload capacity of up to 1kg. Airbase is the base station where the drone launches and lands from. It features a custom-designed robotic arm that is designed to automatically switch batteries and payloads without human intervention. Airobotics software is used for controlling and managing missions as well as processing raw aerial data for actionable insights. The company also provides developers with the tools necessary to develop solutions and integrate new sensors. Applications are in the areas of inspection, surveying and mapping, security and emergency response, among others.",USA,Predictive Maintainance,Smart Operations,2014,Emerging,"101,000,000",Series D,Stability
Algae Aqua,https://algaeaqua.com/full/index.html,"Algae Aqua Culture Technology uses bioprocessors to process waste heat and carbon dioxide and produces renewable energy and organic soil amendments. The byproducts include methane, hydrogen and bio-oils which can be used as fuels for farm equipment and generation of electricity. The bioprocessors are housed in smart / automated greenhouses. The greenhouses consist of photobioreactors, anaerobic bioreactors, which are used to grow algae and process algae into soil nutrients.",USA,Circular Cities,Circular Economy,2009,Nascent,"862,250",Seed,Accessibility
Altarock,http://altarockenergy.com/#&panel1-1,AltaRock Energy is a renewable energy development company focused on the research and development of Engineered Geothermal power plants for baseload power generation. AltaRock has filed patent applications for a large portfolio in the EGS area and holds exclusive licenses for related intellectual property.,USA,Renewable Generation,Whole System Resources,2007,Emerging,"26,300,000",Series B,Sustainability
Amapire,https://www.ampaire.com/,Ampaire is a US-based startup focused on providing electric aviation solutions. The company claims to be developing an electric aircraft. The company is working on the development of electric powertrains for aircraft and plans to develop the complete aircraft based on its technology.,USA,Battery technology,Transport,2016,Nascent,,Series A,Mobility
Amber Kinetics,https://www.amberkinetics.com/,"Amber Kinetics develop energy storage systems using fly-wheel technology as an alternative to chemical batteries and other traditional energy storage solutions. The company offer customers options to meet continuous load ramping, peak shifting and frequency regulation needs at both the distribution and transmission levels. Amber Kinetics has won competitive funding contracts from the U.S. Department of Energy, the California Energy Commission, and the Hawaiian Energy Excelerator.",USA,Grid-scale Storage,Whole System Resources,2009,Mature,"25,000,000",Series C,Stability
Ambilight,https://www.ambilightinc.com/#page1,Manufacturer of smart and flexible thin-film,USA,Green Building,Buildings & Heat,2017,Nascent,"20,000,000",Series A,Stability
